model,scenario,image_path,compute_time_sec
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Dracaena trifasciata (Prain) Mabb\IMG_20241125_094957.jpg,0.021456480026245117
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ruellia simplex C.Wright\IMG_20241113_105110.jpg,0.014083385467529297
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Acalypha siamensis Oliv. ex Gage\IMG_20241109_133347.jpg,0.0059969425201416016
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Codiaeum variegatum (L.) Rumph. ex A.Juss\IMG_20241109_134850.jpg,0.015727758407592773
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Diospyros borneensis Hiern\IMG_20241123_102832.jpg,0.015830278396606445
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Hura crepitans L\IMG_20241123_084511.jpg,0.0
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Excoecaria cochinchinensis Lour\IMG_20241125_104219.jpg,0.0
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alocasia macrorrhizos\IMG_20241106_104837.jpg,0.0
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Grammatophyllum speciosum\IMG_20241125_103519.jpg,0.02059483528137207
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Kalanchoe pinnata\IMG_20241019_123138.jpg,0.022899866104125977
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Duranta erecta L\IMG_20241106_100853.jpg,0.021296024322509766
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Shorea laevis Ridl\IMG_20241115_091943.jpg,0.016051769256591797
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Acalypha siamensis Oliv. ex Gage\IMG_20241109_133518.jpg,0.007825136184692383
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Cocos nucifera L\IMG_20241109_135438.jpg,0.023979902267456055
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Pandanus amaryllifolius Roxb\IMG_20241109_135340.jpg,0.023305892944335938
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ctenanthe burle-marxii H.Kenn\IMG_20241109_144344.jpg,0.01578831672668457
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Duranta erecta L\IMG_20241106_100844.jpg,0.009765386581420898
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Duranta erecta L\IMG_20241106_100857.jpg,0.01564645767211914
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult\IMG_20241125_115057.jpg,0.015703201293945312
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Excoecaria cochinchinensis Lour\IMG_20241125_104206.jpg,0.015907764434814453
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Kalanchoe pinnata\IMG_20241125_094515.jpg,0.0
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Terminalia mantaly H.Perrier\IMG_20241123_084249.jpg,0.015815258026123047
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Agathis borneensis Warburg\IMG_20241019_133752.jpg,0.01572394371032715
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Vatica oblongifolia Hook.f\IMG_20241125_111655.jpg,0.0157012939453125
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Hopea pedicellata (Brandis) Symington\IMG_20241125_085854.jpg,0.02119898796081543
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Garcinia mangostana L\IMG_20241109_150715.jpg,0.016031742095947266
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Mangifera indica L\IMG_20241115_103500.jpg,0.015987873077392578
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Acalypha siamensis Oliv. ex Gage\IMG_20241109_133420.jpg,0.0
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ctenanthe burle-marxii H.Kenn\IMG_20241109_144532.jpg,0.0
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Furcraea foetida (L.) Haw\IMG_20241113_100101.jpg,0.0
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Grammatophyllum speciosum\IMG_20241125_103348.jpg,0.016112565994262695
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Syzygium oleana\IMG_20241123_084746.jpg,0.006150960922241211
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Grammatophyllum speciosum\IMG_20241125_103417.jpg,0.019912242889404297
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Vatica oblongifolia Hook.f\IMG_20241125_111606.jpg,0.011761665344238281
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Pandanus amaryllifolius Roxb\IMG_20241109_141509.jpg,0.01577925682067871
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Mangifera indica L\IMG_20241115_103422.jpg,0.015776395797729492
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Strombosia ceylanica Gardn\IMG_20241106_103253.jpg,0.011762619018554688
ResNet50,with_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Furcraea foetida (L.) Haw\IMG_20241106_100807.jpg,0.010020256042480469
